b,b,f,b,f,b,,f,f,f,,b,f,b,f,b,b,f,b,b,f,b,f,b,,f,f,f,,b,f,b,f,b,b,f
f,b,b,f,b,b,,b,f,b,,b,b,f,b,b,f,b,f,b,b,f,b,b,,b,f,b,,b,b,f,b,b,f,b
b,f,b,b,f,f,,b,f,b,,f,f,b,b,f,b,b,b,f,b,b,f,f,,b,f,b,,f,f,b,b,f,b,b
b,b,f,b,b,f,,b,f,b,,,b-k2tog,b,f,b,b,f,b,b,f,b,b,f,,b,f,b,,,b-k2tog,b,f,b,b,f
f,b,b,f,b,f,,b,f,b,,,b,f,b,b,f,f,f,b,b,f,b,f,,b,f,b,,,b,f,b,b,f,f
b,f,b,b,f,f,,b,f,b,,,f,b,b,f,b,f,b,f,b,b,f,f,,b,f,b,,,f,b,b,f,b,f
b,f,f,f,f-k2tog,,,b,f,b,,,f,f,f,f,b,f,b,f,f,f,f-k2tog,,,b,f,b,,,f,f,f,f,b,f
b,f,f,f,f,,,f,b,f,,,f,f,f,f,b,f,b,f,f,f,f,,,f,b,f,,,f,f,f,f,b,f
b,f,f,f,f,,,b,b,b,,,,f-k2tog,f,f,b,f,b,f,f,f,f,,,b,b,b,,,,f-k2tog,f,f,b,f
b,f,f,f,b,,,b,f,b,,,,b,f,f,b,f,b,f,f,f,b,,,b,f,b,,,,b,f,f,b,f
b,b,f,b-k2tog,,,,f,f,f,,,,b,f,b,b,f,b,b,f,b-k2tog,,,,f,f,f,,,,b,f,b,b,f
f,b,b,f,,,,b,f,b,,,,f,b,b,f,b,f,b,b,f,,,,b,f,b,,,,f,b,b,f,b
b,f,b,b,,,,b,f,b,,,,,b-k2tog,f,b,b,b,f,b,b,,,,b,f,b,,,,,b-k2tog,f,b,b
b,b,f,b,,,,b,f,b,,,,,f,b,b,f,b,b,f,b,,,,b,f,b,,,,,f,b,b,f
f,b,b,f,,,,b,f,b,,,,,b,b,f,f,f,b,b,f,,,,b,f,b,,,,,b,b,f,f
f,f,b-k2tog,,,,,b,f,b,,,,,b,f,f,f,f,f,b-k2tog,,,,,b,f,b,,,,,b,f,f,f
f,f,f,,,,,b,f,b,,,,,f,f,f,f,f,f,f,,,,,b,f,b,,,,,f,f,f,f
f,f,f,,,,,f,b,f,,,,,,f-k2tog,f,f,f,f,f,,,,,f,b,f,,,,,,f-k2tog,f,f
f,f,f,,,,,b,b,b,,,,,,f,f,f,f,f,f,,,,,b,b,b,,,,,,f,f,f
f,b-k2tog,,,,,,b,f,b,,,,,,b,f,f,f,b-k2tog,,,,,,b,f,b,,,,,,b,f,f
b,b,,,,,,f,f,f,,,,,,,b-k2tog,f,b,b,,,,,,f,f,f,,,,,,,b-k2tog,f
b,f,,,,,,f,f,f,,,,,,,b,b,b,f,,,,,,f,f,f,,,,,,,b,b
f-k2tog,,,,,,,b,f,b,,,,,,,f,b,f-k2tog,,,,,,,b,f,b,,,,,,,f,b
f,,,,,,,b,f,b,,,,,,,f,f,f,,,,,,,b,f,b,,,,,,,f,f
f,,,,,,,b,f,b,,,,,,,,f-k2tog,f,,,,,,,b,f,b,,,,,,,,f-k2tog
,,,,,,,b,f,b,,,,,,,,f-k2tog,,,,,,,,b,f,b,,,,,,,,f-k2tog
,,,,,,,b-k2tog,f,b,,,,,,,,f,,,,,,,,b,f,b,,,,,,,,
,,,,,,,f,b,f-k2tog,,,,,,,,,,,,,,,,f,b,f,,,,,,,,
,,,,,,,b,b,b,,,,,,,,,,,,,,,,b,b,b,,,,,,,,
,,,,,,,,f-k2tog,f,,,,,,,,,,,,,,,,,f-k2tog,f,,,,,,,,
,,,,,,,,f-k2tog,,,,,,,,,,,,,,,,,,f,f,,,,,,,,
,,,,,,,,f,,,,,,,,,,,,,,,,,,f-k2tog,,,,,,,,,
